iter	Passed	Remaining
418	1324	1836
419	1325	1830
420	1326	1824
421	1328	1819
422	1329	1813
423	1330	1808
424	1332	1802
425	1333	1796
426	1334	1791
427	1335	1785
428	1337	1779
429	1338	1774
430	1339	1768
431	1340	1763
432	1342	1757
433	1343	1752
434	1344	1746
435	1346	1741
436	1347	1735
437	1348	1730
438	1349	1724
439	1351	1719
440	1352	1714
441	1353	1709
442	1354	1703
443	1356	1698
444	1357	1693
445	1359	1688
446	1360	1682
447	1361	1677
448	1362	1672
449	1363	1667
450	1365	1662
451	1366	1656
452	1367	1651
453	1369	1646
454	1370	1641
455	1371	1636
456	1373	1631
457	1374	1626
458	1375	1621
459	1376	1616
460	1378	1611
461	1379	1606
462	1380	1601
463	1382	1596
464	1383	1591
465	1384	1586
466	1385	1581
467	1387	1576
468	1388	1572
469	1389	1567
470	1390	1562
471	1392	1557
472	1393	1552
473	1394	1547
474	1396	1543
475	1397	1538
476	1398	1533
477	1399	1528
478	1401	1523
479	1402	1519
480	1403	1514
481	1405	1509
482	1406	1505
483	1407	1500
484	1408	1495
485	1409	1491
486	1411	1486
487	1412	1481
488	1413	1477
489	1414	1472
490	1416	1468
491	1417	1463
492	1418	1459
493	1420	1454
494	1421	1450
495	1422	1445
496	1423	1441
497	1425	1436
498	1426	1432
499	1427	1427
500	1428	1423
501	1430	1418
502	1431	1414
503	1432	1410
504	1434	1405
505	1435	1401
506	1436	1396
507	1437	1392
508	1439	1388
509	1440	1383
510	1441	1379
511	1442	1375
512	1444	1370
513	1445	1366
514	1446	1362
515	1447	1358
516	1449	1353
517	1450	1349
518	1451	1345
519	1452	1341
520	1454	1336
521	1455	1332
522	1456	1328
523	1457	1324
524	1459	1320
525	1460	1315
526	1461	1311
527	1463	1307
528	1464	1304
529	1466	1300
530	1467	1295
531	1468	1291
532	1469	1287
533	1470	1283
534	1472	1279
535	1473	1275
536	1474	1271
537	1476	1267
538	1477	1263
539	1479	1260
540	1480	1256
541	1482	1252
542	1483	1248
543	1484	1244
544	1485	1240
545	1487	1236
546	1488	1232
547	1489	1228
548	1491	1224
549	1492	1221
550	1493	1217
551	1495	1213
552	1496	1209
553	1497	1205
554	1498	1201
555	1500	1198
556	1502	1194
557	1503	1190
558	1504	1186
559	1506	1183
560	1507	1179
561	1508	1175
562	1509	1172
563	1511	1168
564	1512	1164
565	1513	1160
566	1514	1156
567	1516	1153
568	1517	1149
569	1518	1145
570	1520	1142
571	1521	1138
572	1522	1134
573	1523	1130
574	1525	1127
575	1526	1123
576	1527	1119
577	1528	1116
578	1530	1112
579	1531	1108
580	1532	1105
581	1533	1101
582	1535	1098
583	1536	1094
584	1537	1091
585	1539	1087
586	1540	1083
587	1541	1080
588	1542	1076
589	1544	1073
590	1545	1069
591	1546	1065
592	1547	1062
593	1549	1058
594	1550	1055
595	1552	1052
596	1553	1048
597	1554	1044
598	1555	1041
599	1557	1038
600	1558	1034
601	1559	1031
